uf	municipio	total	quantidade	percentual
SC	LACERDOPOLIS	63	0	0.00
SC	LAGES	1517	4	0.26
SC	LAGUNA	749	0	0.00
SC	LAJEADO GRANDE	34	0	0.00
SC	LAURENTINO	111	0	0.00
SC	LAURO MULLER	144	0	0.00
SC	LEBON REGIS	83	0	0.00
SC	LEOBERTO LEAL	62	0	0.00
SC	LINDOIA DO SUL	96	0	0.00
SC	LONTRAS	110	0	0.00
SC	LUIZ ALVES	73	0	0.00
SC	LUZERNA	150	0	0.00
SC	MACIEIRA	17	0	0.00
SC	MAFRA	866	2	0.23
SC	MAJOR GERCINO	55	0	0.00
SC	MAJOR VIEIRA	167	0	0.00
SC	MARACAJA	70	0	0.00
SC	MARAVILHA	546	1	0.18
SC	MAREMA	52	0	0.00
SC	MASSARANDUBA	105	0	0.00
SC	MATOS COSTA	41	0	0.00
SC	MELEIRO	95	0	0.00
SC	MIRIM DOCE	25	0	0.00
SC	MODELO	98	0	0.00
SC	MONDAI	183	0	0.00
SC	MONTE CARLO	80	0	0.00
SC	MONTE CASTELO	89	0	0.00
SC	MORRO DA FUMACA	116	0	0.00
SC	MORRO GRANDE	40	0	0.00
SC	NAVEGANTES	795	2	0.25
SC	NOVA ERECHIM	139	0	0.00
SC	NOVA ITABERABA	61	0	0.00
SC	NOVA TRENTO	116	0	0.00
SC	NOVA VENEZA	142	0	0.00
SC	NOVO HORIZONTE	69	0	0.00
SC	ORLEANS	295	0	0.00
SC	OTACILIO COSTA	182	1	0.55
SC	OURO	140	0	0.00
SC	OURO VERDE	71	0	0.00
SC	PAIAL	35	0	0.00
SC	PAINEL	15	0	0.00
SC	PALHOCA	2186	6	0.27
SC	PALMA SOLA	198	0	0.00
SC	PALMEIRA	7	0	0.00
SC	PALMITOS	364	2	0.55
SC	PAPANDUVA	263	0	0.00
SC	PARAISO	62	0	0.00
SC	PASSO DE TORRES	143	1	0.70
SC	PASSOS MAIA	102	0	0.00
SC	PAULO LOPES	110	0	0.00
SC	PEDRAS GRANDES	28	0	0.00
SC	PENHA	311	1	0.32
SC	PERITIBA	55	0	0.00
SC	PETROLANDIA	113	0	0.00
SC	PINHALZINHO	496	0	0.00
SC	PINHEIRO PRETO	60	0	0.00
SC	PIRATUBA	93	0	0.00
SC	PLANALTO ALEGRE	76	0	0.00
SC	POMERODE	244	0	0.00
SC	PONTE ALTA	62	1	1.61
SC	PONTE ALTA DO NORTE	32	0	0.00
SC	PONTE SERRADA	258	0	0.00
SC	PORTO BELO	261	1	0.38
SC	PORTO UNIAO	626	2	0.32
SC	POUSO REDONDO	156	2	1.28
SC	PRAIA GRANDE	231	3	1.30
SC	PRESIDENTE CASTELLO BRANCO	58	0	0.00
SC	PRESIDENTE GETULIO	163	1	0.61
SC	PRESIDENTE NEREU	27	0	0.00
SC	PRINCESA	53	1	1.89
SC	QUILOMBO	360	1	0.28
SC	RANCHO QUEIMADO	29	0	0.00
SC	RIO DAS ANTAS	70	0	0.00
SC	RIO DO CAMPO	90	0	0.00
SC	RIO DO OESTE	92	0	0.00
SC	RIO DO SUL	1185	1	0.08
SC	RIO DOS CEDROS	69	1	1.45
SC	RIO FORTUNA	46	0	0.00
SC	RIO NEGRINHO	550	2	0.36
SC	RIO RUFINO	27	0	0.00
SC	RIQUEZA	181	1	0.55
SC	RODEIO	47	0	0.00
SC	ROMELANDIA	78	0	0.00
SC	SALETE	100	0	0.00
SC	SALTINHO	65	0	0.00
SC	SALTO VELOSO	65	0	0.00
SC	SANGAO	113	0	0.00
SC	SANTA CECILIA	132	1	0.76
SC	SANTA HELENA	81	0	0.00
SC	SANTA ROSA DE LIMA	42	0	0.00
SC	SANTA ROSA DO SUL	167	0	0.00
SC	SANTA TEREZINHA	110	0	0.00
SC	SANTA TEREZINHA DO PROGRESSO	57	0	0.00
SC	SANTIAGO DO SUL	37	0	0.00
SC	SANTO AMARO DA IMPERATRIZ	338	1	0.30
SC	SAO BENTO DO SUL	1139	2	0.18
SC	SAO BERNARDINO	83	0	0.00
SC	SAO BONIFACIO	46	0	0.00
SC	SAO CARLOS	234	0	0.00
SC	SAO CRISTOVAO DO SUL	31	0	0.00
SC	SAO DOMINGOS	237	2	0.84
SC	SAO FRANCISCO DO SUL	716	1	0.14
SC	SAO JOAO BATISTA	282	0	0.00
SC	SAO JOAO DO ITAPERIU	74	0	0.00
SC	SAO JOAO DO OESTE	200	0	0.00
SC	SAO JOAO DO SUL	166	1	0.60
SC	SAO JOAQUIM	241	1	0.41
SC	SAO JOSE	4108	14	0.34
SC	SAO JOSE DO CEDRO	271	1	0.37
SC	SAO JOSE DO CERRITO	98	0	0.00
SC	SAO LOURENCO DO OESTE	796	0	0.00
SC	SAO LUDGERO	96	0	0.00
SC	SAO MARTINHO	55	0	0.00
SC	SAO MIGUEL DA BOA VISTA	20	0	0.00
SC	SAO MIGUEL DO OESTE	928	2	0.22
SC	SAO PEDRO DE ALCANTARA	52	0	0.00
SC	SAUDADES	212	0	0.00
SC	SCHROEDER	191	1	0.52
SC	SEARA	334	0	0.00
SC	SERRA ALTA	86	0	0.00
SC	SIDEROPOLIS	98	0	0.00
SC	SOMBRIO	627	3	0.48
SC	SUL BRASIL	52	0	0.00
SC	TAIO	250	0	0.00
SC	TANGARA	145	0	0.00
SC	TIGRINHOS	36	0	0.00
SC	TIJUCAS	491	4	0.81
SC	TIMBE DO SUL	62	1	1.61
SC	TIMBO	399	0	0.00
SC	TIMBO GRANDE	67	0	0.00
SC	TRES BARRAS	154	0	0.00
SC	TREVISO	13	0	0.00
SC	TREZE DE MAIO	121	0	0.00
SC	TREZE TILIAS	97	0	0.00
SC	TROMBUDO CENTRAL	93	1	1.08
SC	TUBARAO	1421	1	0.07
SC	TUNAPOLIS	99	0	0.00
SC	TURVO	173	0	0.00
SC	UNIAO DO OESTE	79	0	0.00
SC	URUBICI	82	0	0.00
SC	URUPEMA	60	0	0.00
SC	URUSSANGA	235	0	0.00
SC	VARGEAO	81	0	0.00
SC	VARGEM	39	0	0.00
SC	VARGEM BONITA	75	0	0.00
SC	VIDAL RAMOS	114	0	0.00
SC	VIDEIRA	1118	3	0.27
SC	VITOR MEIRELES	71	4	5.63
SC	WITMARSUM	62	0	0.00
SC	XANXERE	1449	6	0.41
SC	XAVANTINA	94	0	0.00
SC	XAXIM	679	2	0.29
SC	ZORTEA	73	0	0.00
SE	AMPARO DE SAO FRANCISCO	54	1	1.85
SE	AQUIDABA	500	2	0.40
SE	ARACAJU	30783	297	0.96
SE	ARAUA	340	0	0.00
SE	AREIA BRANCA	402	1	0.25
SE	BARRA DOS COQUEIROS	857	4	0.47
SE	BOQUIM	1222	0	0.00
SE	BREJO GRANDE	109	0	0.00
SE	CAMPO DO BRITO	560	1	0.18
SE	CANHOBA	82	0	0.00
SE	CANINDE DE SAO FRANCISCO	656	5	0.76
SE	CAPELA	832	8	0.96
SE	CARIRA	350	6	1.71
SE	CARMOPOLIS	309	1	0.32
