uf	municipio	total	quantidade	percentual
PR	SALTO DO LONTRA	362	57	15.75
PR	SANTA AMELIA	89	9	10.11
PR	SANTA CECILIA DO PAVAO	85	24	28.24
PR	SANTA CRUZ DE MONTE CASTELO	127	47	37.01
PR	SANTA FE	196	49	25.00
PR	SANTA HELENA	771	144	18.68
PR	SANTA INES	65	27	41.54
PR	SANTA ISABEL DO IVAI	129	33	25.58
PR	SANTA IZABEL DO OESTE	395	107	27.09
PR	SANTA LUCIA	55	10	18.18
PR	SANTA MARIA DO OESTE	184	21	11.41
PR	SANTA MARIANA	237	68	28.69
PR	SANTA MONICA	41	16	39.02
PR	SANTA TEREZA DO OESTE	203	61	30.05
PR	SANTA TEREZINHA DE ITAIPU	661	120	18.15
PR	SANTANA DO ITARARE	129	7	5.43
PR	SANTO ANTONIO DA PLATINA	751	130	17.31
PR	SANTO ANTONIO DO CAIUA	49	26	53.06
PR	SANTO ANTONIO DO PARAISO	62	13	20.97
PR	SANTO ANTONIO DO SUDOESTE	581	115	19.79
PR	SANTO INACIO	70	24	34.29
PR	SAO CARLOS DO IVAI	60	20	33.33
PR	SAO JERONIMO DA SERRA	137	24	17.52
PR	SAO JOAO	391	67	17.14
PR	SAO JOAO DO CAIUA	78	35	44.87
PR	SAO JOAO DO IVAI	218	65	29.82
PR	SAO JOAO DO TRIUNFO	157	32	20.38
PR	SAO JORGE D OESTE	326	74	22.70
PR	SAO JORGE DO IVAI	73	20	27.40
PR	SAO JORGE DO PATROCINIO	113	27	23.89
PR	SAO JOSE DA BOA VISTA	90	15	16.67
PR	SAO JOSE DAS PALMEIRAS	132	38	28.79
PR	SAO JOSE DOS PINHAIS	8566	1616	18.87
PR	SAO MANOEL DO PARANA	21	3	14.29
PR	SAO MATEUS DO SUL	547	70	12.80
PR	SAO MIGUEL DO IGUACU	780	106	13.59
PR	SAO PEDRO DO IGUACU	147	35	23.81
PR	SAO PEDRO DO IVAI	143	30	20.98
PR	SAO PEDRO DO PARANA	18	7	38.89
PR	SAO SEBASTIAO DA AMOREIRA	187	50	26.74
PR	SAO TOME	84	8	9.52
PR	SAPOPEMA	161	22	13.66
PR	SARANDI	1250	444	35.52
PR	SAUDADE DO IGUACU	106	27	25.47
PR	SENGES	252	47	18.65
PR	SERRANOPOLIS DO IGUACU	165	6	3.64
PR	SERTANEJA	153	42	27.45
PR	SERTANOPOLIS	429	104	24.24
PR	SIQUEIRA CAMPOS	269	25	9.29
PR	SULINA	79	9	11.39
PR	TAMARANA	135	23	17.04
PR	TAMBOARA	65	10	15.38
PR	TAPEJARA	230	62	26.96
PR	TAPIRA	121	26	21.49
PR	TEIXEIRA SOARES	152	22	14.47
PR	TELEMACO BORBA	1513	258	17.05
PR	TERRA BOA	337	72	21.36
PR	TERRA RICA	158	55	34.81
PR	TERRA ROXA	467	82	17.56
PR	TIBAGI	309	48	15.53
PR	TIJUCAS DO SUL	288	44	15.28
PR	TOLEDO	4374	1056	24.14
PR	TOMAZINA	95	13	13.68
PR	TRES BARAS DO PARANA	1	1	100.00
PR	TRES BARRAS DO PARANA	208	14	6.73
PR	TUNAS DO PARANA	54	19	35.19
PR	TUNEIRAS DO OESTE	234	90	38.46
PR	TUPASSI	198	36	18.18
PR	TURVO	255	44	17.25
PR	UBIRATA	518	103	19.88
PR	UMUARAMA	2241	601	26.82
PR	UNIAO DA VITORIA	822	155	18.86
PR	UNIFLOR	40	8	20.00
PR	URAI	277	74	26.71
PR	VENTANIA	133	21	15.79
PR	VERA CRUZ DO OESTE	295	50	16.95
PR	VERE	343	55	16.03
PR	VIRMOND	117	14	11.97
PR	VITORINO	231	42	18.18
PR	WENCESLAU BRAZ	362	62	17.13
PR	XAMBRE	88	31	35.23
RJ	ANGRA DOS REIS	3075	991	32.23
RJ	APERIBE	274	56	20.44
RJ	ARARUAMA	3243	1108	34.17
RJ	AREAL	238	87	36.55
RJ	ARMACAO DOS BUZIOS	685	196	28.61
RJ	ARRAIAL DO CABO	572	154	26.92
RJ	BARRA DO PIRAI	1834	564	30.75
RJ	BARRA MANSA	4863	1451	29.84
RJ	BELFORD ROXO	10975	4852	44.21
RJ	BOM JARDIM	438	69	15.75
RJ	BOM JESUS DO ITABAPOANA	1044	286	27.39
RJ	CABO FRIO	3739	1129	30.20
RJ	CACHOEIRAS DE MACACU	1295	513	39.61
RJ	CAMBUCI	370	93	25.14
RJ	CAMPOS DOS GOYTACAZES	8552	2141	25.04
RJ	CAMPOS DOS GYTACAZES	1	0	0.00
RJ	CANTAGALO	322	80	24.84
RJ	CARAPEBUS	98	39	39.80
RJ	CARDOSO MOREIRA	147	24	16.33
RJ	CARMO	360	85	23.61
RJ	CASIMIRO DE ABREU	856	271	31.66
RJ	COMENDADOR LEVY GASPARIAN	232	61	26.29
RJ	CONCEICAO DE MACABU	366	104	28.42
RJ	CORDEIRO	403	80	19.85
RJ	DUAS BARRAS	194	38	19.59
RJ	DUQUE DE CAXIAS	20207	8552	42.32
RJ	ENGENHEIRO PAULO DE FRONTIN	308	128	41.56
RJ	GUAPIMIRIM	1103	441	39.98
RJ	IGUABA GRANDE	618	214	34.63
RJ	ITABORAI	5159	2343	45.42
RJ	ITAGUAI	2946	1205	40.90
RJ	ITALVA	283	56	19.79
RJ	ITAOCARA	622	90	14.47
RJ	ITAPERUNA	2066	646	31.27
RJ	ITATIAIA	609	191	31.36
RJ	JAPERI	2143	969	45.22
RJ	LAJE DO MURIAE	209	92	44.02
RJ	MACAE	4398	1459	33.17
RJ	MACUCO	112	19	16.96
RJ	MAGE	4717	1897	40.22
RJ	MANGARATBA	1	1	100.00
RJ	MANGARATIBA	695	268	38.56
RJ	MARICA	3052	1045	34.24
RJ	MCAE	1	1	100.00
RJ	MENDES	467	120	25.70
RJ	MESQUITA	5037	2166	43.00
RJ	MIGUEL PEREIRA	741	227	30.63
RJ	MIRACEMA	1011	317	31.36
RJ	NATIVIDADE	315	85	26.98
RJ	NILOPOLIS	4906	1956	39.87
RJ	NITEROI	16356	3885	23.75
RJ	NOVA FRIBURGO	3710	614	16.55
RJ	NOVA GUACU	1	1	100.00
RJ	NOVA IGUACU	23275	9929	42.66
RJ	PARACAMBI	1381	522	37.80
RJ	PARAIBA DO SUL	1081	274	25.35
RJ	PARATY	596	201	33.72
RJ	PATY DO ALFERES	690	245	35.51
RJ	PEROPOLIS	1	1	100.00
RJ	PETROPOLIS	6512	1424	21.87
RJ	PINHEIRAL	468	148	31.62
RJ	PIRAI	534	178	33.33
RJ	PORCIUNCULA	421	127	30.17
RJ	PORTO REAL	359	121	33.70
RJ	QUATIS	323	115	35.60
RJ	QUEIMADOS	3890	1748	44.94
RJ	QUISSAMA	183	88	48.09
RJ	RESENDE	3134	907	28.94
RJ	RIO BONITO	1357	490	36.11
RJ	RIO CLARO	231	49	21.21
RJ	RIO D JANEIRO	1	1	100.00
RJ	RIO DAS FLORES	159	45	28.30
RJ	RIO DAS OSTRAS	3144	1044	33.21
RJ	RIO DE ANEIRO	1	1	100.00
RJ	RIO DE JANEIR	2	1	50.00
RJ	RIO DE JANEIRO	170696	57229	33.53
RJ	RIO DE JANERO	1	1	100.00
RJ	RIO DE JANIRO	1	0	0.00
RJ	RIO DEJANEIRO	1	0	0.00
RJ	RIODE JANEIRO	1	0	0.00
RJ	RO DE JANEIRO	1	0	0.00
RJ	SAGONCALO	1	1	100.00
RJ	SANTA MARIA MADALENA	115	38	33.04
RJ	SANTO ANTONIO DE PADUA	1303	283	21.72
RJ	SAO FIDELIS	995	193	19.40
RJ	SAO FRANCISCO DE ITABAPOANA	631	180	28.53
RJ	SAO GONCALO	24465	9149	37.40
RJ	SAO JOAO DA BARRA	422	101	23.93
RJ	SAO JOAO DE MERITI	12021	5161	42.93
RJ	SAO JOSE DE UBA	154	60	38.96
RJ	SAO JOSE DO VALE DO RIO PRETO	312	58	18.59
RJ	SAO PEDRO DA ADEIA	1	0	0.00
RJ	SAO PEDRO DA ALDEIA	1946	699	35.92
RJ	SAO SEBASTIAO DO ALTO	153	32	20.92
RJ	SAPUCAIA	256	64	25.00
RJ	SAQUAREMA	1708	616	36.07
RJ	SEROPEDICA	1927	770	39.96
RJ	SILVA JARDIM	347	143	41.21
RJ	SUMIDOURO	234	54	23.08
RJ	TANGUA	547	247	45.16
RJ	TERESOPOLIS	3693	829	22.45
RJ	TRAJANO DE MORAES	183	48	26.23
RJ	TRES RIOS	2557	744	29.10
RJ	VALENCA	1896	507	26.74
RJ	VARRE-SAI	183	55	30.05
RJ	VASSOURAS	737	227	30.80
RJ	VOLTA REDOND	1	0	0.00
RJ	VOLTA REDONDA	7599	2091	27.52
RN	ACARI	492	157	31.91
