uf	municipio	total	quantidade	percentual
BA	CRAVOLANDIA	190	4	2.11
BA	CRISOPOLIS	256	7	2.73
BA	CRISTOPOLIS	302	4	1.32
BA	CRUZ DAS ALMAS	4641	91	1.96
BA	CURACA	745	24	3.22
BA	DARIO MEIRA	171	3	1.75
BA	DIAS D AVILA	1500	52	3.47
BA	DOM BASILIO	211	5	2.37
BA	DOM MACEDO COSTA	127	0	0.00
BA	ELISIO MEDRADO	262	3	1.15
BA	ENCRUZILHADA	189	1	0.53
BA	ENTRE RIOS	971	20	2.06
BA	ERICO CARDOSO	139	5	3.60
BA	ESPLANADA	405	11	2.72
BA	EUCLIDES DA CUNHA	835	19	2.28
BA	EUNAPOLI	1	0	0.00
BA	EUNAPOLIS	2925	93	3.18
BA	FATIMA	439	7	1.59
BA	FEIRA DA MATA	151	5	3.31
BA	FEIRA DE SANTAN	1	0	0.00
BA	FEIRA DE SANTANA	25985	542	2.09
BA	FEIRA DE SNTANA	1	0	0.00
BA	FEIRA DESANTANA	1	0	0.00
BA	FILADELFIA	454	15	3.30
BA	FIRMINO ALVES	131	2	1.53
BA	FLORESTA AZUL	181	7	3.87
BA	FORMOSA DO RIO PRETO	358	15	4.19
BA	GANDU	853	25	2.93
BA	GAVIAO	90	1	1.11
BA	GENTIO DO OURO	186	7	3.76
BA	GLORIA	205	9	4.39
BA	GONGOGI	74	1	1.35
BA	GOVERNADOR MANGABEIRA	775	11	1.42
BA	GUAJERU	232	0	0.00
BA	GUANAMBI	3540	98	2.77
BA	GUARATINGA	243	2	0.82
BA	HELIOPOLIS	320	8	2.50
BA	IACU	342	8	2.34
BA	IBIASSUCE	429	8	1.86
BA	IBICARAI	587	18	3.07
BA	IBICOARA	186	3	1.61
BA	IBICUI	238	13	5.46
BA	IBIPEBA	272	7	2.57
BA	IBIPITANGA	239	2	0.84
BA	IBIQUERA	38	3	7.89
BA	IBIRAPITANGA	293	12	4.10
BA	IBIRAPUA	178	10	5.62
BA	IBIRATAIA	341	5	1.47
BA	IBITIARA	237	6	2.53
BA	IBITITA	452	11	2.43
BA	IBOTIRAMA	807	12	1.49
BA	ICHU	180	7	3.89
BA	IGAPORA	436	9	2.06
BA	IGRAPIUNA	252	9	3.57
BA	IGUAI	298	2	0.67
BA	ILHEUS	10221	221	2.16
BA	INHAMBUPE	640	12	1.88
BA	IPECAETA	208	2	0.96
BA	IPIAU	1479	27	1.83
BA	IPIRA	815	12	1.47
BA	IPUPIARA	119	2	1.68
BA	IRAJUBA	69	4	5.80
BA	IRAMAIA	110	4	3.64
BA	IRAQUARA	257	1	0.39
BA	IRARA	826	11	1.33
BA	IRECE	2962	119	4.02
BA	ITABELA	434	10	2.30
BA	ITABERABA	1689	45	2.66
BA	ITABUNA	10980	270	2.46
BA	ITACARE	419	10	2.39
BA	ITAETE	76	1	1.32
BA	ITAGI	234	13	5.56
BA	ITAGIBA	198	5	2.53
BA	ITAGIMIRIM	129	4	3.10
BA	ITAGUACU DA BAHIA	147	2	1.36
BA	ITAJU DO COLONIA	140	2	1.43
BA	ITAJUIPE	765	20	2.61
BA	ITAMARAJU	1287	15	1.17
BA	ITAMARI	98	0	0.00
BA	ITAMBE	599	22	3.67
BA	ITANAGRA	79	3	3.80
BA	ITANHEM	419	11	2.63
BA	ITAPARICA	451	5	1.11
BA	ITAPE	199	5	2.51
BA	ITAPEBI	95	4	4.21
BA	ITAPETINGA	2512	65	2.59
BA	ITAPICURU	261	8	3.07
BA	ITAPITANGA	201	10	4.98
BA	ITAQUARA	102	2	1.96
BA	ITARANTIM	145	3	2.07
BA	ITARICA	1	0	0.00
BA	ITATIM	131	2	1.53
BA	ITIRUCU	317	6	1.89
BA	ITIUBA	412	9	2.18
BA	ITORORO	346	12	3.47
BA	ITUACU	334	14	4.19
BA	ITUBERA	399	5	1.25
BA	IUIU	283	4	1.41
BA	JABORANDI	128	1	0.78
BA	JACARACI	288	4	1.39
BA	JACOBINA	2865	99	3.46
BA	JAGUAQUARA	971	24	2.47
BA	JAGUARARI	804	32	3.98
BA	JAGUARIPE	105	1	0.95
BA	JANDAIRA	74	1	1.35
BA	JAZEIRO	1	0	0.00
BA	JEQUIE	5811	170	2.93
BA	JEREMOABO	510	6	1.18
BA	JIQUIRICA	471	10	2.12
BA	JITAUNA	318	3	0.94
BA	JOAO DOURADO	643	22	3.42
BA	JUAZEIRO	10880	343	3.15
BA	JUCURUCU	59	0	0.00
BA	JUSSARA	323	7	2.17
BA	JUSSARI	91	1	1.10
BA	JUSSIAPE	147	1	0.68
BA	LAFAIETE COUTINHO	81	4	4.94
BA	LAGOA REAL	263	5	1.90
BA	LAJE	507	8	1.58
BA	LAJEDAO	97	6	6.19
BA	LAJEDINHO	28	0	0.00
BA	LAJEDO DO TABOCAL	140	2	1.43
BA	LAMARAO	75	5	6.67
BA	LAPAO	596	14	2.35
BA	LAURO DE FREITAS	7167	154	2.15
BA	LENCOIS	209	0	0.00
BA	LICINIO DE ALMEIDA	343	3	0.87
BA	LIVRAMENTO DE NOSSA SENHORA	931	21	2.26
BA	LUIS EDUARDO MAGALHAES	1620	66	4.07
BA	MACAJUBA	117	1	0.85
BA	MACARANI	276	10	3.62
BA	MACAUBAS	893	29	3.25
BA	MACURURE	47	0	0.00
BA	MADRE DE DEUS	309	7	2.27
BA	MAETINGA	154	2	1.30
BA	MAIQUINIQUE	144	13	9.03
BA	MAIRI	332	5	1.51
BA	MALHADA	339	2	0.59
BA	MALHADA DE PEDRAS	157	0	0.00
BA	MANOEL VITORINO	201	6	2.99
BA	MANSIDAO	118	2	1.69
BA	MARACAS	678	23	3.39
BA	MARAGOGIPE	709	31	4.37
BA	MARAU	163	5	3.07
BA	MARCIONILIO SOUZA	220	7	3.18
BA	MASCOTE	166	3	1.81
BA	MATA DE SAO JOAO	685	19	2.77
BA	MATINA	258	15	5.81
BA	MEDEIROS NETO	465	10	2.15
BA	MIGUEL CALMON	695	14	2.01
BA	MILAGRES	309	8	2.59
BA	MIRANGABA	159	2	1.26
BA	MIRANTE	104	0	0.00
BA	MONTE SANTO	701	9	1.28
BA	MORPARA	149	0	0.00
BA	MORRO DO CHAPEU	679	19	2.80
BA	MORTUGABA	157	1	0.64
BA	MUCUGE	185	2	1.08
BA	MUCURI	1002	42	4.19
BA	MULUNGU DO MORRO	140	2	1.43
BA	MUNDO NOVO	358	6	1.68
BA	MUNIZ FERREIRA	166	2	1.20
BA	MUQUEM DE SAO FRANCISCO	132	5	3.79
BA	MURITIBA	1058	13	1.23
BA	MUTUIPE	1191	11	0.92
BA	NAZARE	518	9	1.74
BA	NILO PECANHA	126	5	3.97
BA	NORDESTINA	97	4	4.12
BA	NOVA CANAA	388	4	1.03
BA	NOVA FATIMA	209	5	2.39
BA	NOVA IBIA	95	2	2.11
BA	NOVA ITARANA	115	2	1.74
BA	NOVA REDENCAO	119	2	1.68
BA	NOVA SOURE	393	10	2.54
BA	NOVA VICOSA	768	24	3.13
BA	NOVO HORIZONTE	116	2	1.72
BA	NOVO TRIUNFO	80	2	2.50
BA	OLINDINA	239	11	4.60
BA	OLIVEIRA DOS BREJINHOS	414	6	1.45
BA	OURICANGAS	178	1	0.56
BA	OUROLANDIA	167	13	7.78
BA	PALMAS DE MONTE ALTO	683	21	3.07
BA	PALMEIRAS	160	8	5.00
BA	PARAMIRIM	663	13	1.96
BA	PARATINGA	520	13	2.50
BA	PARIPIRANGA	671	20	2.98
BA	PAU BRASIL	376	4	1.06
BA	PAULO AFONSO	3311	134	4.05
BA	PE DE SERRA	309	7	2.27
BA	PEDRAO	108	1	0.93
BA	PEDRO ALEXANDRE	79	0	0.00
