id	qtdtotal	qtdamarelo	qtdindigeno	qtdpreto	qtdpardo	qtdbranco	qtdcota	prcamarelo	prcindigeno	prcpreto	prcpardo	prcbranco	prccota
2407	223	4	1	25	84	98	98	1.79	0.45	11.21	37.67	43.95	49.33
2408	130	1	2	14	79	31	31	0.77	1.54	10.77	60.77	23.85	73.08
2409	218	1	1	11	102	101	101	0.46	0.46	5.05	46.79	46.33	52.29
2410	106	2	0	7	32	63	63	1.89	0.00	6.60	30.19	59.43	36.79
2411	113	1	1	18	61	32	32	0.88	0.88	15.93	53.98	28.32	70.80
2412	62	1	0	7	35	18	18	1.61	0.00	11.29	56.45	29.03	67.74
2413	100	2	0	11	29	55	55	2.00	0.00	11.00	29.00	55.00	40.00
2414	178	4	0	10	65	98	98	2.25	0.00	5.62	36.52	55.06	42.13
2415	855	10	3	64	328	433	433	1.17	0.35	7.49	38.36	50.64	46.20
2416	36	1	0	1	21	13	13	2.78	0.00	2.78	58.33	36.11	61.11
2417	511	17	3	67	292	124	124	3.33	0.59	13.11	57.14	24.27	70.84
2418	63	1	0	6	18	37	37	1.59	0.00	9.52	28.57	58.73	38.10
2419	188	3	1	23	61	91	91	1.60	0.53	12.23	32.45	48.40	45.21
2420	556	10	3	84	256	201	201	1.80	0.54	15.11	46.04	36.15	61.69
2421	108	3	0	13	51	39	39	2.78	0.00	12.04	47.22	36.11	59.26
2422	142	2	0	13	40	83	83	1.41	0.00	9.15	28.17	58.45	37.32
2423	20	1	0	5	10	4	4	5.00	0.00	25.00	50.00	20.00	75.00
2424	118	3	0	7	62	40	40	2.54	0.00	5.93	52.54	33.90	58.47
2425	137	2	1	13	46	67	67	1.46	0.73	9.49	33.58	48.91	43.80
2426	622	8	15	38	294	258	258	1.29	2.41	6.11	47.27	41.48	55.79
2427	778	26	1	108	351	264	264	3.34	0.13	13.88	45.12	33.93	59.13
2428	681	19	5	112	350	187	187	2.79	0.73	16.45	51.40	27.46	68.58
2429	40	0	0	2	27	11	11	0.00	0.00	5.00	67.50	27.50	72.50
2430	797	14	8	172	456	136	136	1.76	1.00	21.58	57.21	17.06	79.80
2431	503	5	0	55	276	159	159	0.99	0.00	10.93	54.87	31.61	65.81
2432	60	4	0	4	23	26	26	6.67	0.00	6.67	38.33	43.33	45.00
2433	1032	29	2	108	409	458	458	2.81	0.19	10.47	39.63	44.38	50.29
2434	337	10	3	63	168	79	79	2.97	0.89	18.69	49.85	23.44	69.44
2435	209	3	2	27	96	75	75	1.44	0.96	12.92	45.93	35.89	59.81
2436	247	2	19	26	120	76	76	0.81	7.69	10.53	48.58	30.77	66.80
2437	88	2	0	22	48	16	16	2.27	0.00	25.00	54.55	18.18	79.55
2438	819	11	1	153	494	152	152	1.34	0.12	18.68	60.32	18.56	79.12
2439	2801	85	8	319	1238	1089	1089	3.03	0.29	11.39	44.20	38.88	55.87
2440	473	4	1	38	224	201	201	0.85	0.21	8.03	47.36	42.49	55.60
2441	53	3	0	8	33	9	9	5.66	0.00	15.09	62.26	16.98	77.36
2442	207	6	0	19	103	76	76	2.90	0.00	9.18	49.76	36.71	58.94
2443	90	4	1	6	39	40	40	4.44	1.11	6.67	43.33	44.44	51.11
2444	154	5	0	31	59	58	58	3.25	0.00	20.13	38.31	37.66	58.44
2445	115	4	3	13	62	33	33	3.48	2.61	11.30	53.91	28.70	67.83
2446	13788	322	29	1922	6139	5168	5168	2.34	0.21	13.94	44.52	37.48	58.67
2447	283	4	1	29	199	45	45	1.41	0.35	10.25	70.32	15.90	80.92
2448	64	1	1	8	19	34	34	1.56	1.56	12.50	29.69	53.13	43.75
2449	205	1	1	17	85	100	100	0.49	0.49	8.29	41.46	48.78	50.24
2450	67	3	0	10	27	26	26	4.48	0.00	14.93	40.30	38.81	55.22
2451	32	2	1	2	10	17	17	6.25	3.13	6.25	31.25	53.13	40.63
2452	79	1	2	15	44	11	11	1.27	2.53	18.99	55.70	13.92	77.22
2453	70	2	1	15	42	10	10	2.86	1.43	21.43	60.00	14.29	82.86
2454	77	1	1	3	38	33	33	1.30	1.30	3.90	49.35	42.86	54.55
2455	519	9	2	132	297	71	71	1.73	0.39	25.43	57.23	13.68	83.04
2456	191	6	9	34	96	40	40	3.14	4.71	17.80	50.26	20.94	72.77
2457	118	3	0	9	58	48	48	2.54	0.00	7.63	49.15	40.68	56.78
2458	278	7	0	19	149	101	101	2.52	0.00	6.83	53.60	36.33	60.43
2459	106	3	0	21	54	27	27	2.83	0.00	19.81	50.94	25.47	70.75
2460	475	21	0	45	187	213	213	4.42	0.00	9.47	39.37	44.84	48.84
2461	75	2	1	4	51	17	17	2.67	1.33	5.33	68.00	22.67	74.67
2462	493	9	5	44	198	229	229	1.83	1.01	8.92	40.16	46.45	50.10
2463	28	1	0	4	17	5	5	3.57	0.00	14.29	60.71	17.86	75.00
2464	6828	112	22	914	2708	2995	2995	1.64	0.32	13.39	39.66	43.86	53.37
2465	2638	47	10	251	1052	1252	1252	1.78	0.38	9.51	39.88	47.46	49.77
2466	206	6	0	24	96	78	78	2.91	0.00	11.65	46.60	37.86	58.25
2467	2967	68	14	383	1272	1184	1184	2.29	0.47	12.91	42.87	39.91	56.25
2468	320	7	0	33	104	171	171	2.19	0.00	10.31	32.50	53.44	42.81
2469	320	5	1	28	110	166	166	1.56	0.31	8.75	34.38	51.88	43.44
2470	109	1	0	14	63	26	26	0.92	0.00	12.84	57.80	23.85	70.64
2471	192	7	0	13	96	69	69	3.65	0.00	6.77	50.00	35.94	56.77
2472	126	6	1	28	46	44	44	4.76	0.79	22.22	36.51	34.92	59.52
2473	45	0	0	1	23	19	19	0.00	0.00	2.22	51.11	42.22	53.33
2474	15187	379	57	2470	8022	3905	3905	2.50	0.38	16.26	52.82	25.71	69.46
2475	291	3	2	25	118	142	142	1.03	0.69	8.59	40.55	48.80	49.83
2476	166	5	1	51	77	28	28	3.01	0.60	30.72	46.39	16.87	77.71
2477	499	35	0	64	186	203	203	7.01	0.00	12.83	37.27	40.68	50.10
2478	6268	70	15	604	4597	949	949	1.12	0.24	9.64	73.34	15.14	83.22
2479	223	4	0	25	145	49	49	1.79	0.00	11.21	65.02	21.97	76.23
2480	352	6	1	50	263	27	27	1.70	0.28	14.20	74.72	7.67	89.20
2481	66	1	0	1	51	10	10	1.52	0.00	1.52	77.27	15.15	78.79
2482	176	4	2	26	106	37	37	2.27	1.14	14.77	60.23	21.02	76.14
2483	805	9	4	58	597	129	129	1.12	0.50	7.20	74.16	16.02	81.86
2484	618	14	1	92	394	105	105	2.27	0.16	14.89	63.75	16.99	78.80
2485	4539	162	44	603	2802	873	873	3.57	0.97	13.28	61.73	19.23	75.99
2486	707	4	2	64	536	97	97	0.57	0.28	9.05	75.81	13.72	85.15
2487	27310	489	171	3421	17838	4792	4792	1.79	0.63	12.53	65.32	17.55	78.47
2488	180	3	0	28	115	32	32	1.67	0.00	15.56	63.89	17.78	79.44
2489	916	4	5	27	796	72	72	0.44	0.55	2.95	86.90	7.86	90.39
2490	302	6	1	28	136	30	30	1.99	0.33	9.27	45.03	9.93	54.64
2491	118	1	0	9	93	14	14	0.85	0.00	7.63	78.81	11.86	86.44
2492	337	4	1	31	251	49	49	1.19	0.30	9.20	74.48	14.54	83.98
2493	498	5	5	56	364	64	64	1.00	1.00	11.24	73.09	12.85	85.34
2494	23	0	0	5	14	4	4	0.00	0.00	21.74	60.87	17.39	82.61
2495	3568	52	17	355	2589	512	512	1.46	0.48	9.95	72.56	14.35	82.99
2496	77943	1556	466	10118	49205	15216	15216	2.00	0.60	12.98	63.13	19.52	76.71
2497	282	5	7	14	220	27	27	1.77	2.48	4.96	78.01	9.57	85.46
2498	1598	33	7	186	1055	268	268	2.07	0.44	11.64	66.02	16.77	78.10
2499	1	0	0	0	1	0	0	0.00	0.00	0.00	100.00	0.00	100.00
2500	1	0	0	1	0	0	0	0.00	0.00	100.00	0.00	0.00	100.00
2501	349	1	1	26	267	50	50	0.29	0.29	7.45	76.50	14.33	84.24
2502	177	9	0	14	128	25	25	5.08	0.00	7.91	72.32	14.12	80.23
2503	5542	33	15	226	4828	396	396	0.60	0.27	4.08	87.12	7.15	91.47
2504	375	14	1	47	213	92	92	3.73	0.27	12.53	56.80	24.53	69.60
2505	85	2	2	11	53	17	17	2.35	2.35	12.94	62.35	20.00	77.65
2506	616	21	3	78	360	136	136	3.41	0.49	12.66	58.44	22.08	71.59
2507	4172	45	23	357	3132	536	536	1.08	0.55	8.56	75.07	12.85	84.18
2508	508	4	1	48	418	29	29	0.79	0.20	9.45	82.28	5.71	91.93
2509	261	6	5	43	185	17	17	2.30	1.92	16.48	70.88	6.51	89.27
2510	94	0	1	6	70	12	12	0.00	1.06	6.38	74.47	12.77	81.91
2511	5737	56	12	466	4262	821	821	0.98	0.21	8.12	74.29	14.31	82.62
2512	531	25	3	53	322	117	117	4.71	0.56	9.98	60.64	22.03	71.19
2513	2356	41	10	168	1533	571	571	1.74	0.42	7.13	65.07	24.24	72.62
2514	1425	8	1	53	1262	97	97	0.56	0.07	3.72	88.56	6.81	92.35
2515	6660	140	25	641	4488	1266	1266	2.10	0.38	9.62	67.39	19.01	77.39
2516	1	0	0	0	1	0	0	0.00	0.00	0.00	100.00	0.00	100.00
2517	52	0	0	7	37	7	7	0.00	0.00	13.46	71.15	13.46	84.62
2518	224	5	0	20	170	26	26	2.23	0.00	8.93	75.89	11.61	84.82
2519	1156	48	9	158	689	238	238	4.15	0.78	13.67	59.60	20.59	74.05
2520	422	10	1	48	288	68	68	2.37	0.24	11.37	68.25	16.11	79.86
2521	25	0	0	5	16	4	4	0.00	0.00	20.00	64.00	16.00	84.00
2522	457	11	3	84	276	77	77	2.41	0.66	18.38	60.39	16.85	79.43
2523	490	5	3	56	365	43	43	1.02	0.61	11.43	74.49	8.78	86.53
2524	208	3	0	21	159	21	21	1.44	0.00	10.10	76.44	10.10	86.54
2525	749	7	4	74	557	87	87	0.93	0.53	9.88	74.37	11.62	84.78
2526	659	18	2	89	379	159	159	2.73	0.30	13.51	57.51	24.13	71.32
2527	567	16	1	67	343	121	121	2.82	0.18	11.82	60.49	21.34	72.49
2528	114	1	0	7	87	19	19	0.88	0.00	6.14	76.32	16.67	82.46
2529	151	6	2	24	93	21	21	3.97	1.32	15.89	61.59	13.91	78.81
2530	308	0	2	11	268	21	21	0.00	0.65	3.57	87.01	6.82	91.23
2531	443	10	3	55	275	90	90	2.26	0.68	12.42	62.08	20.32	75.17
2532	146	1	1	14	99	31	31	0.68	0.68	9.59	67.81	21.23	78.08
2533	708	16	4	43	518	109	109	2.26	0.56	6.07	73.16	15.40	79.80
2534	1985	17	12	220	1374	330	330	0.86	0.60	11.08	69.22	16.62	80.91
2535	140	2	0	25	95	16	16	1.43	0.00	17.86	67.86	11.43	85.71
2536	281	2	1	25	177	37	37	0.71	0.36	8.90	62.99	13.17	72.24
2537	605	4	3	62	453	80	80	0.66	0.50	10.25	74.88	13.22	85.62
2538	4719	123	51	677	3023	691	691	2.61	1.08	14.35	64.06	14.64	79.49
2539	688	13	2	112	449	96	96	1.89	0.29	16.28	65.26	13.95	81.83
2540	96	4	12	12	46	18	18	4.17	12.50	12.50	47.92	18.75	72.92
2541	1145	36	7	109	757	197	197	3.14	0.61	9.52	66.11	17.21	76.24
2542	885	15	4	37	696	79	79	1.69	0.45	4.18	78.64	8.93	83.28
2543	555	4	1	40	391	108	108	0.72	0.18	7.21	70.45	19.46	77.84
2544	702	13	2	86	488	111	111	1.85	0.28	12.25	69.52	15.81	82.05
2545	73	2	0	4	54	12	12	2.74	0.00	5.48	73.97	16.44	79.45
2546	10942	162	40	1152	7513	1957	1957	1.48	0.37	10.53	68.66	17.89	79.56
2547	635	3	4	23	490	89	89	0.47	0.63	3.62	77.17	14.02	81.42
2548	341	3	1	23	261	50	50	0.88	0.29	6.74	76.54	14.66	83.58
2549	3227	58	23	356	2213	484	484	1.80	0.71	11.03	68.58	15.00	80.32
2550	353	18	0	36	222	72	72	5.10	0.00	10.20	62.89	20.40	73.09
2551	356	9	4	40	249	52	52	2.53	1.12	11.24	69.94	14.61	82.30
2552	1061	11	6	121	764	155	155	1.04	0.57	11.40	72.01	14.61	83.98
2553	1297	11	12	222	825	169	169	0.85	0.93	17.12	63.61	13.03	81.65
2554	1691	17	2	89	1358	193	193	1.01	0.12	5.26	80.31	11.41	85.69
2555	327	5	0	16	261	42	42	1.53	0.00	4.89	79.82	12.84	84.71
2556	293	4	0	15	256	16	16	1.37	0.00	5.12	87.37	5.46	92.49
2557	225	3	0	24	162	36	36	1.33	0.00	10.67	72.00	16.00	82.67
2558	188	5	3	14	138	24	24	2.66	1.60	7.45	73.40	12.77	82.45
2559	598	9	2	65	255	250	250	1.51	0.33	10.87	42.64	41.81	53.85
2560	860	21	3	93	547	147	147	2.44	0.35	10.81	63.60	17.09	74.77
2561	859	14	6	74	616	135	135	1.63	0.70	8.61	71.71	15.72	81.02
2562	434	1	1	23	377	29	29	0.23	0.23	5.30	86.87	6.68	92.40
2563	1796	27	10	186	1290	264	264	1.50	0.56	10.36	71.83	14.70	82.74
2564	319	2	1	18	277	21	21	0.63	0.31	5.64	86.83	6.58	92.79
2565	255	5	0	27	139	76	76	1.96	0.00	10.59	54.51	29.80	65.10
2566	1	0	0	0	1	0	0	0.00	0.00	0.00	100.00	0.00	100.00
2567	348	9	2	26	233	60	60	2.59	0.57	7.47	66.95	17.24	75.00
2568	50	2	1	5	25	16	16	4.00	2.00	10.00	50.00	32.00	62.00
2569	2279	84	13	295	1379	456	456	3.69	0.57	12.94	60.51	20.01	74.02
2570	5723	169	30	698	3461	1237	1237	2.95	0.52	12.20	60.48	21.61	73.20
2571	88	2	1	6	61	17	17	2.27	1.14	6.82	69.32	19.32	77.27
2572	109	1	0	9	72	26	26	0.92	0.00	8.26	66.06	23.85	74.31
2573	154	4	1	10	108	31	31	2.60	0.65	6.49	70.13	20.13	77.27
2574	234	5	3	38	145	40	40	2.14	1.28	16.24	61.97	17.09	79.49
2575	483	8	3	33	389	49	49	1.66	0.62	6.83	80.54	10.14	87.99
2576	1796	19	13	188	1272	260	260	1.06	0.72	10.47	70.82	14.48	82.02
2577	169	4	0	5	135	21	21	2.37	0.00	2.96	79.88	12.43	82.84
2578	480	6	1	22	420	25	25	1.25	0.21	4.58	87.50	5.21	92.29
2579	164	5	3	10	120	25	25	3.05	1.83	6.10	73.17	15.24	81.10
2580	155	4	0	9	123	17	17	2.58	0.00	5.81	79.35	10.97	85.16
2581	2658	109	18	393	1538	569	569	4.10	0.68	14.79	57.86	21.41	73.33
2582	310	14	1	29	178	80	80	4.52	0.32	9.35	57.42	25.81	67.10
2583	769	17	7	84	527	125	125	2.21	0.91	10.92	68.53	16.25	80.36
2584	402	11	4	43	224	109	109	2.74	1.00	10.70	55.72	27.11	67.41
2585	960	9	2	48	813	86	86	0.94	0.21	5.00	84.69	8.96	89.90
2586	543	4	7	77	415	38	38	0.74	1.29	14.18	76.43	7.00	91.90
2587	474	4	2	32	367	59	59	0.84	0.42	6.75	77.43	12.45	84.60
2588	24	0	1	5	16	2	2	0.00	4.17	20.83	66.67	8.33	91.67
2589	1926	34	9	229	1316	304	304	1.77	0.47	11.89	68.33	15.78	80.69
2590	440	8	2	26	338	61	61	1.82	0.45	5.91	76.82	13.86	83.18
2591	79	3	0	17	40	12	12	3.80	0.00	21.52	50.63	15.19	72.15
2592	483	8	2	36	330	103	103	1.66	0.41	7.45	68.32	21.33	76.19
2593	259	8	2	38	168	39	39	3.09	0.77	14.67	64.86	15.06	80.31
2594	18541	339	232	1512	13487	2673	2673	1.83	1.25	8.15	72.74	14.42	82.15
2595	168	0	0	4	149	7	7	0.00	0.00	2.38	88.69	4.17	91.07
2596	545	8	2	45	377	98	98	1.47	0.37	8.26	69.17	17.98	77.80
2597	214	1	1	6	176	28	28	0.47	0.47	2.80	82.24	13.08	85.51
2598	494	8	0	65	317	90	90	1.62	0.00	13.16	64.17	18.22	77.33
2599	369	3	4	53	280	25	25	0.81	1.08	14.36	75.88	6.78	91.33
2600	369	6	0	33	214	103	103	1.63	0.00	8.94	57.99	27.91	66.94
2601	265	1	1	15	210	34	34	0.38	0.38	5.66	79.25	12.83	85.28
2602	487	33	2	74	278	95	95	6.78	0.41	15.20	57.08	19.51	72.69
2603	37	0	0	0	32	5	5	0.00	0.00	0.00	86.49	13.51	86.49
2604	345	4	3	41	253	42	42	1.16	0.87	11.88	73.33	12.17	86.09
2605	61	0	0	5	50	6	6	0.00	0.00	8.20	81.97	9.84	90.16
2606	1547	6	3	120	1301	109	109	0.39	0.19	7.76	84.10	7.05	92.05
2607	1176	4	3	41	786	177	177	0.34	0.26	3.49	66.84	15.05	70.58
2608	70	3	0	5	47	15	15	4.29	0.00	7.14	67.14	21.43	74.29
2609	207	4	0	32	143	25	25	1.93	0.00	15.46	69.08	12.08	84.54
2610	977	26	5	215	609	106	106	2.66	0.51	22.01	62.33	10.85	84.85
2611	703	18	4	84	466	117	117	2.56	0.57	11.95	66.29	16.64	78.81
2612	197	4	1	11	152	27	27	2.03	0.51	5.58	77.16	13.71	83.25
2613	221	4	1	15	173	25	25	1.81	0.45	6.79	78.28	11.31	85.52
2614	1692	32	13	204	1235	188	188	1.89	0.77	12.06	72.99	11.11	85.82
2615	529	2	2	20	456	47	47	0.38	0.38	3.78	86.20	8.88	90.36
2616	149	9	0	14	51	29	29	6.04	0.00	9.40	34.23	19.46	43.62
2617	568	18	2	61	288	181	181	3.17	0.35	10.74	50.70	31.87	61.80
2618	5304	131	25	731	3374	966	966	2.47	0.47	13.78	63.61	18.21	77.87
2619	176	4	4	26	107	26	26	2.27	2.27	14.77	60.80	14.77	77.84
2620	680	17	4	63	451	135	135	2.50	0.59	9.26	66.32	19.85	76.18
2621	890	15	2	64	672	130	130	1.69	0.22	7.19	75.51	14.61	82.92
2622	390	2	1	27	298	57	57	0.51	0.26	6.92	76.41	14.62	83.59
2623	202	8	0	19	152	23	23	3.96	0.00	9.41	75.25	11.39	84.65
2624	1385	41	1	171	838	320	320	2.96	0.07	12.35	60.51	23.10	72.92
2625	204	8	0	7	92	93	93	3.92	0.00	3.43	45.10	45.59	48.53
2626	173	3	1	2	125	41	41	1.73	0.58	1.16	72.25	23.70	73.99
2627	744	22	7	108	410	186	186	2.96	0.94	14.52	55.11	25.00	70.56
2628	667	22	6	80	387	159	159	3.30	0.90	11.99	58.02	23.84	70.91
2629	421	17	7	43	292	59	59	4.04	1.66	10.21	69.36	14.01	81.24
2630	127	3	0	12	62	50	50	2.36	0.00	9.45	48.82	39.37	58.27
2631	95	3	1	8	52	31	31	3.16	1.05	8.42	54.74	32.63	64.21
2632	442	24	4	39	262	106	106	5.43	0.90	8.82	59.28	23.98	69.00
2633	92	6	0	5	53	27	27	6.52	0.00	5.43	57.61	29.35	63.04
2634	278	6	3	41	129	89	89	2.16	1.08	14.75	46.40	32.01	62.23
2635	236	5	1	20	131	78	78	2.12	0.42	8.47	55.51	33.05	64.41
2636	300	5	2	20	195	76	76	1.67	0.67	6.67	65.00	25.33	72.33
2637	249	8	1	10	139	90	90	3.21	0.40	4.02	55.82	36.14	60.24
2638	772	42	6	100	428	187	187	5.44	0.78	12.95	55.44	24.22	69.17
2639	54	1	1	0	37	15	15	1.85	1.85	0.00	68.52	27.78	70.37
2640	228	10	0	14	118	85	85	4.39	0.00	6.14	51.75	37.28	57.89
2641	434	16	1	23	228	164	164	3.69	0.23	5.30	52.53	37.79	58.06
2642	132	6	0	7	88	27	27	4.55	0.00	5.30	66.67	20.45	71.97
2643	192	2	141	7	27	13	13	1.04	73.44	3.65	14.06	6.77	91.15
2644	419	17	1	34	237	127	127	4.06	0.24	8.11	56.56	30.31	64.92
2645	198	6	2	2	121	62	62	3.03	1.01	1.01	61.11	31.31	63.13
2646	425	12	1	23	244	142	142	2.82	0.24	5.41	57.41	33.41	63.06
2647	210	2	1	4	126	75	75	0.95	0.48	1.90	60.00	35.71	62.38
2648	94	1	1	6	42	44	44	1.06	1.06	6.38	44.68	46.81	52.13
2649	3130	139	29	378	1680	844	844	4.44	0.93	12.08	53.67	26.96	66.68
2650	347	2	0	29	231	84	84	0.58	0.00	8.36	66.57	24.21	74.93
2651	201	5	1	10	121	62	62	2.49	0.50	4.98	60.20	30.85	65.67
2652	74	1	0	7	35	31	31	1.35	0.00	9.46	47.30	41.89	56.76
2653	207	2	3	14	121	63	63	0.97	1.45	6.76	58.45	30.43	66.67
2654	303	16	0	26	110	146	146	5.28	0.00	8.58	36.30	48.18	44.88
2655	151	4	0	15	66	61	61	2.65	0.00	9.93	43.71	40.40	53.64
2656	172	4	0	6	87	75	75	2.33	0.00	3.49	50.58	43.60	54.07
2657	315	2	1	20	194	96	96	0.63	0.32	6.35	61.59	30.48	68.25
2658	578	28	0	20	250	273	273	4.84	0.00	3.46	43.25	47.23	46.71
2659	79	1	0	11	48	18	18	1.27	0.00	13.92	60.76	22.78	74.68
2660	336	2	0	17	192	123	123	0.60	0.00	5.06	57.14	36.61	62.20
2661	206	5	1	12	102	82	82	2.43	0.49	5.83	49.51	39.81	55.83
2662	400	27	2	51	253	62	62	6.75	0.50	12.75	63.25	15.50	76.50
2663	190	4	0	16	84	84	84	2.11	0.00	8.42	44.21	44.21	52.63
2664	1802	73	19	224	900	540	540	4.05	1.05	12.43	49.94	29.97	63.43
2665	358	5	0	23	190	136	136	1.40	0.00	6.42	53.07	37.99	59.50
2666	106	0	0	5	63	37	37	0.00	0.00	4.72	59.43	34.91	64.15
2667	352	9	1	23	239	73	73	2.56	0.28	6.53	67.90	20.74	74.72
2668	121	2	2	16	78	22	22	1.65	1.65	13.22	64.46	18.18	79.34
2669	186	2	0	13	128	43	43	1.08	0.00	6.99	68.82	23.12	75.81
2670	3525	90	10	264	1578	1505	1505	2.55	0.28	7.49	44.77	42.70	52.54
2671	88	1	0	20	43	24	24	1.14	0.00	22.73	48.86	27.27	71.59
2672	87	6	0	4	53	21	21	6.90	0.00	4.60	60.92	24.14	65.52
2673	86	3	0	7	41	32	32	3.49	0.00	8.14	47.67	37.21	55.81
2674	23168	889	151	2135	10502	8999	8999	3.84	0.65	9.22	45.33	38.84	55.20
2675	64	6	0	3	40	15	15	9.38	0.00	4.69	62.50	23.44	67.19
2676	41	2	1	3	17	18	18	4.88	2.44	7.32	41.46	43.90	51.22
2677	127	1	0	4	38	83	83	0.79	0.00	3.15	29.92	65.35	33.07
2678	91	1	0	4	58	28	28	1.10	0.00	4.40	63.74	30.77	68.13
2679	140	5	5	8	57	64	64	3.57	3.57	5.71	40.71	45.71	50.00
2680	1050	25	10	79	492	430	430	2.38	0.95	7.52	46.86	40.95	55.33
2681	179	1	1	2	84	88	88	0.56	0.56	1.12	46.93	49.16	48.60
2682	1	0	0	0	1	0	0	0.00	0.00	0.00	100.00	0.00	100.00
2683	504	15	5	42	258	172	172	2.98	0.99	8.33	51.19	34.13	60.52
2684	185	3	1	8	107	64	64	1.62	0.54	4.32	57.84	34.59	62.70
2685	422	17	6	89	214	92	92	4.03	1.42	21.09	50.71	21.80	73.22
2686	139	2	1	4	75	53	53	1.44	0.72	2.88	53.96	38.13	57.55
2687	383	5	5	25	140	202	202	1.31	1.31	6.53	36.55	52.74	44.39
2688	52	5	0	1	26	20	20	9.62	0.00	1.92	50.00	38.46	51.92
2689	137	7	2	17	76	33	33	5.11	1.46	12.41	55.47	24.09	69.34
2690	194	4	0	12	91	84	84	2.06	0.00	6.19	46.91	43.30	53.09
2691	975	30	2	56	496	382	382	3.08	0.21	5.74	50.87	39.18	56.82
2692	51	3	0	1	29	18	18	5.88	0.00	1.96	56.86	35.29	58.82
2693	94	2	0	11	56	24	24	2.13	0.00	11.70	59.57	25.53	71.28
2694	76	3	0	0	47	26	26	3.95	0.00	0.00	61.84	34.21	61.84
2695	48	0	0	0	38	10	10	0.00	0.00	0.00	79.17	20.83	79.17
2696	120	8	0	1	77	32	32	6.67	0.00	0.83	64.17	26.67	65.00
2697	211	14	0	17	118	62	62	6.64	0.00	8.06	55.92	29.38	63.98
2698	236	7	2	31	145	50	50	2.97	0.85	13.14	61.44	21.19	75.42
2699	163	1	3	11	103	39	39	0.61	1.84	6.75	63.19	23.93	71.78
2700	51	4	1	2	28	15	15	7.84	1.96	3.92	54.90	29.41	60.78
2701	141	1	0	8	75	57	57	0.71	0.00	5.67	53.19	40.43	58.87
2702	1165	37	7	61	601	439	439	3.18	0.60	5.24	51.59	37.68	57.42
2703	226	20	1	16	121	63	63	8.85	0.44	7.08	53.54	27.88	61.06
2704	106	3	1	4	55	43	43	2.83	0.94	3.77	51.89	40.57	56.60
2705	222	3	0	15	104	92	92	1.35	0.00	6.76	46.85	41.44	53.60
2706	2019	61	24	208	1075	620	620	3.02	1.19	10.30	53.24	30.71	64.74
2707	247	4	0	28	161	50	50	1.62	0.00	11.34	65.18	20.24	76.52
2708	120	5	0	8	59	47	47	4.17	0.00	6.67	49.17	39.17	55.83
2709	120	4	2	13	58	40	40	3.33	1.67	10.83	48.33	33.33	60.83
2710	215	7	3	9	117	79	79	3.26	1.40	4.19	54.42	36.74	60.00
2711	143	4	1	11	75	47	47	2.80	0.70	7.69	52.45	32.87	60.84
2712	431	18	6	42	219	145	145	4.18	1.39	9.74	50.81	33.64	61.95
2713	787	19	7	80	421	248	248	2.41	0.89	10.17	53.49	31.51	64.55
2714	719	24	3	58	326	302	302	3.34	0.42	8.07	45.34	42.00	53.82
2715	279	5	0	20	185	65	65	1.79	0.00	7.17	66.31	23.30	73.48
2716	218	5	2	33	122	54	54	2.29	0.92	15.14	55.96	24.77	72.02
2717	246	8	1	11	125	101	101	3.25	0.41	4.47	50.81	41.06	55.69
2718	217	2	0	6	137	68	68	0.92	0.00	2.76	63.13	31.34	65.90
2719	1	0	0	0	0	1	1	0.00	0.00	0.00	0.00	100.00	0.00
2720	1	0	0	0	1	0	0	0.00	0.00	0.00	100.00	0.00	100.00
2721	37410	1328	260	3842	17289	13718	13718	3.55	0.70	10.27	46.21	36.67	57.18
2722	97	2	0	1	67	27	27	2.06	0.00	1.03	69.07	27.84	70.10
2723	150	12	0	12	84	40	40	8.00	0.00	8.00	56.00	26.67	64.00
2724	417	11	0	39	255	106	106	2.64	0.00	9.35	61.15	25.42	70.50
2725	250	9	1	23	142	73	73	3.60	0.40	9.20	56.80	29.20	66.40
2726	190	10	0	19	100	58	58	5.26	0.00	10.00	52.63	30.53	62.63
2727	188	8	1	8	95	75	75	4.26	0.53	4.26	50.53	39.89	55.32
2728	118	2	0	4	52	59	59	1.69	0.00	3.39	44.07	50.00	47.46
2729	142	5	0	6	81	49	49	3.52	0.00	4.23	57.04	34.51	61.27
2730	757	26	3	51	381	282	282	3.43	0.40	6.74	50.33	37.25	57.46
2731	228	1	0	27	127	66	66	0.44	0.00	11.84	55.70	28.95	67.54
2732	179	1	1	9	96	72	72	0.56	0.56	5.03	53.63	40.22	59.22
2733	71	1	0	3	49	18	18	1.41	0.00	4.23	69.01	25.35	73.24
2734	222	8	1	35	140	30	30	3.60	0.45	15.77	63.06	13.51	79.28
2735	137	0	2	10	71	53	53	0.00	1.46	7.30	51.82	38.69	60.58
2736	159	3	2	14	60	74	74	1.89	1.26	8.81	37.74	46.54	47.80
2737	786	28	11	64	393	272	272	3.56	1.40	8.14	50.00	34.61	59.54
2738	250	5	0	12	151	75	75	2.00	0.00	4.80	60.40	30.00	65.20
2739	126	3	100	2	14	7	7	2.38	79.37	1.59	11.11	5.56	92.06
2740	453	17	2	31	260	139	139	3.75	0.44	6.84	57.40	30.68	64.68
2741	345	1	0	45	160	135	135	0.29	0.00	13.04	46.38	39.13	59.42
2742	239	9	2	12	140	72	72	3.77	0.84	5.02	58.58	30.13	64.44
