id	qtdtotal	qtdamarelo	qtdindigeno	qtdpreto	qtdpardo	qtdbranco	qtdcota	prcamarelo	prcindigeno	prcpreto	prcpardo	prcbranco	prccota
129	879	10	1	59	513	283	283	1.14	0.11	6.71	58.36	32.20	65.19
130	151	1	6	4	134	5	5	0.66	3.97	2.65	88.74	3.31	95.36
131	240	0	15	1	215	9	9	0.00	6.25	0.42	89.58	3.75	96.25
132	115	1	4	5	91	12	12	0.87	3.48	4.35	79.13	10.43	86.96
133	154	1	0	9	105	33	33	0.65	0.00	5.84	68.18	21.43	74.03
134	236	4	0	19	127	79	79	1.69	0.00	8.05	53.81	33.47	61.86
135	52	2	1	2	34	13	13	3.85	1.92	3.85	65.38	25.00	71.15
136	456	2	34	7	245	70	70	0.44	7.46	1.54	53.73	15.35	62.72
137	217	2	19	10	148	31	31	0.92	8.76	4.61	68.20	14.29	81.57
138	488	4	15	4	419	36	36	0.82	3.07	0.82	85.86	7.38	89.75
139	596	2	219	9	322	43	43	0.34	36.74	1.51	54.03	7.21	92.28
140	209	1	0	9	175	21	21	0.48	0.00	4.31	83.73	10.05	88.04
141	265	0	0	6	253	5	5	0.00	0.00	2.26	95.47	1.89	97.74
142	559	10	9	28	332	168	168	1.79	1.61	5.01	59.39	30.05	66.01
143	387	4	10	12	323	30	30	1.03	2.58	3.10	83.46	7.75	89.15
144	74	2	1	2	62	7	7	2.70	1.35	2.70	83.78	9.46	87.84
145	284	0	1	6	138	53	53	0.00	0.35	2.11	48.59	18.66	51.06
146	189	2	2	6	151	26	26	1.06	1.06	3.17	79.89	13.76	84.13
147	428	5	7	14	345	43	43	1.17	1.64	3.27	80.61	10.05	85.51
148	154	2	0	5	118	23	23	1.30	0.00	3.25	76.62	14.94	79.87
149	1147	19	8	62	883	136	136	1.66	0.70	5.41	76.98	11.86	83.09
150	262	0	2	12	201	42	42	0.00	0.76	4.58	76.72	16.03	82.06
151	586	3	6	39	421	111	111	0.51	1.02	6.66	71.84	18.94	79.52
152	129	1	0	7	70	45	45	0.78	0.00	5.43	54.26	34.88	59.69
153	253	0	0	12	220	20	20	0.00	0.00	4.74	86.96	7.91	91.70
154	303	5	4	10	222	61	61	1.65	1.32	3.30	73.27	20.13	77.89
155	853	13	8	61	475	215	215	1.52	0.94	7.15	55.69	25.21	63.77
156	218	3	2	8	184	19	19	1.38	0.92	3.67	84.40	8.72	88.99
157	675	15	8	35	524	82	82	2.22	1.19	5.19	77.63	12.15	84.00
158	2507	15	12	111	1938	360	360	0.60	0.48	4.43	77.30	14.36	82.21
159	94	1	2	6	76	9	9	1.06	2.13	6.38	80.85	9.57	89.36
160	187	0	0	4	150	32	32	0.00	0.00	2.14	80.21	17.11	82.35
161	44	0	5	3	27	9	9	0.00	11.36	6.82	61.36	20.45	79.55
162	32	0	0	3	27	2	2	0.00	0.00	9.38	84.38	6.25	93.75
163	158	1	3	5	113	28	28	0.63	1.90	3.16	71.52	17.72	76.58
164	738	2	8	34	525	157	157	0.27	1.08	4.61	71.14	21.27	76.83
165	2712	22	11	120	2150	393	393	0.81	0.41	4.42	79.28	14.49	84.11
166	169	0	1	5	43	12	12	0.00	0.59	2.96	25.44	7.10	28.99
167	102836	2521	1156	6728	68694	21395	21395	2.45	1.12	6.54	66.80	20.80	74.47
168	629	5	14	22	450	127	127	0.79	2.23	3.50	71.54	20.19	77.27
169	143	1	0	3	127	12	12	0.70	0.00	2.10	88.81	8.39	90.91
170	770	5	6	25	644	78	78	0.65	0.78	3.25	83.64	10.13	87.66
171	408	0	3	12	368	22	22	0.00	0.74	2.94	90.20	5.39	93.87
172	308	1	6	8	247	33	33	0.32	1.95	2.60	80.19	10.71	84.74
173	191	0	5	19	141	22	22	0.00	2.62	9.95	73.82	11.52	86.39
174	344	2	1	8	293	37	37	0.58	0.29	2.33	85.17	10.76	87.79
175	3953	29	27	122	3235	348	348	0.73	0.68	3.09	81.84	8.80	85.61
176	146	0	5	6	72	59	59	0.00	3.42	4.11	49.32	40.41	56.85
177	1141	13	11	89	813	203	203	1.14	0.96	7.80	71.25	17.79	80.02
178	389	13	4	35	259	61	61	3.34	1.03	9.00	66.58	15.68	76.61
179	175	3	96	2	62	4	4	1.71	54.86	1.14	35.43	2.29	91.43
180	252	1	58	5	176	12	12	0.40	23.02	1.98	69.84	4.76	94.84
181	837	11	610	15	130	60	60	1.31	72.88	1.79	15.53	7.17	90.20
182	229	0	12	0	204	13	13	0.00	5.24	0.00	89.08	5.68	94.32
183	146	0	0	3	127	15	15	0.00	0.00	2.05	86.99	10.27	89.04
184	152	0	1	0	140	11	11	0.00	0.66	0.00	92.11	7.24	92.76
185	693	12	43	29	470	129	129	1.73	6.20	4.18	67.82	18.61	78.21
186	538	2	8	29	436	61	61	0.37	1.49	5.39	81.04	11.34	87.92
187	1265	12	16	57	1021	132	132	0.95	1.26	4.51	80.71	10.43	86.48
188	196	1	2	3	185	3	3	0.51	1.02	1.53	94.39	1.53	96.94
189	142	1	3	2	106	14	14	0.70	2.11	1.41	74.65	9.86	78.17
190	354	0	1	6	308	39	39	0.00	0.28	1.69	87.01	11.02	88.98
191	238	2	0	5	211	18	18	0.84	0.00	2.10	88.66	7.56	90.76
192	183	7	0	24	117	31	31	3.83	0.00	13.11	63.93	16.94	77.05
193	1	0	0	1	0	0	0	0.00	0.00	100.00	0.00	0.00	100.00
194	99	1	0	13	71	12	12	1.01	0.00	13.13	71.72	12.12	84.85
195	44	1	2	8	30	3	3	2.27	4.55	18.18	68.18	6.82	90.91
196	85	0	0	8	64	11	11	0.00	0.00	9.41	75.29	12.94	84.71
197	41	1	0	4	28	8	8	2.44	0.00	9.76	68.29	19.51	78.05
198	1119	24	4	111	786	172	172	2.14	0.36	9.92	70.24	15.37	80.52
199	16636	351	99	2260	9772	3630	3630	2.11	0.60	13.58	58.74	21.82	72.92
200	206	0	0	31	146	29	29	0.00	0.00	15.05	70.87	14.08	85.92
201	351	10	10	33	232	54	54	2.85	2.85	9.40	66.10	15.38	78.35
202	101	9	0	14	63	14	14	8.91	0.00	13.86	62.38	13.86	76.24
203	262	2	2	16	183	50	50	0.76	0.76	6.11	69.85	19.08	76.72
204	23	2	0	6	11	4	4	8.70	0.00	26.09	47.83	17.39	73.91
205	6213	77	32	621	4138	1263	1263	1.24	0.52	10.00	66.60	20.33	77.11
206	44	1	0	4	29	6	6	2.27	0.00	9.09	65.91	13.64	75.00
207	154	1	2	16	114	18	18	0.65	1.30	10.39	74.03	11.69	85.71
208	201	6	3	21	143	24	24	2.99	1.49	10.45	71.14	11.94	83.08
209	167	2	2	8	55	56	56	1.20	1.20	4.79	32.93	33.53	38.92
210	377	10	10	66	216	45	45	2.65	2.65	17.51	57.29	11.94	77.45
211	324	0	3	70	207	38	38	0.00	0.93	21.60	63.89	11.73	86.42
212	318	13	1	50	178	71	71	4.09	0.31	15.72	55.97	22.33	72.01
213	357	10	0	143	176	18	18	2.80	0.00	40.06	49.30	5.04	89.36
214	119	1	0	33	74	11	11	0.84	0.00	27.73	62.18	9.24	89.92
215	5005	131	38	1455	2517	723	723	2.62	0.76	29.07	50.29	14.45	80.12
216	469	12	3	148	235	62	62	2.56	0.64	31.56	50.11	13.22	82.30
217	209	8	1	59	118	22	22	3.83	0.48	28.23	56.46	10.53	85.17
218	2119	26	10	724	1005	302	302	1.23	0.47	34.17	47.43	14.25	82.07
219	638	9	2	282	299	28	28	1.41	0.31	44.20	46.87	4.39	91.38
220	245	13	0	47	152	31	31	5.31	0.00	19.18	62.04	12.65	81.22
221	333	12	0	29	192	95	95	3.60	0.00	8.71	57.66	28.53	66.37
222	119	5	1	29	72	10	10	4.20	0.84	24.37	60.50	8.40	85.71
223	257	6	4	19	183	41	41	2.33	1.56	7.39	71.21	15.95	80.16
224	200	7	0	39	112	39	39	3.50	0.00	19.50	56.00	19.50	75.50
225	211	1	0	86	118	6	6	0.47	0.00	40.76	55.92	2.84	96.68
226	156	4	4	8	81	57	57	2.56	2.56	5.13	51.92	36.54	59.62
227	163	1	0	84	74	2	2	0.61	0.00	51.53	45.40	1.23	96.93
228	336	29	2	90	171	38	38	8.63	0.60	26.79	50.89	11.31	78.27
229	203	5	1	42	95	51	51	2.46	0.49	20.69	46.80	25.12	67.98
230	158	2	1	42	86	27	27	1.27	0.63	26.58	54.43	17.09	81.65
231	306	6	0	120	147	31	31	1.96	0.00	39.22	48.04	10.13	87.25
232	222	1	0	16	140	63	63	0.45	0.00	7.21	63.06	28.38	70.27
233	483	14	8	73	283	99	99	2.90	1.66	15.11	58.59	20.50	75.36
234	178	3	3	78	76	13	13	1.69	1.69	43.82	42.70	7.30	88.20
235	169	1	2	73	79	13	13	0.59	1.18	43.20	46.75	7.69	91.12
236	82	0	2	28	40	10	10	0.00	2.44	34.15	48.78	12.20	85.37
237	271	6	1	95	135	21	21	2.21	0.37	35.06	49.82	7.75	85.24
238	180	11	4	12	125	28	28	6.11	2.22	6.67	69.44	15.56	78.33
239	449	10	2	113	280	39	39	2.23	0.45	25.17	62.36	8.69	87.97
240	118	0	18	9	56	31	31	0.00	15.25	7.63	47.46	26.27	70.34
241	326	6	5	96	182	28	28	1.84	1.53	29.45	55.83	8.59	86.81
242	563	14	2	69	316	140	140	2.49	0.36	12.26	56.13	24.87	68.74
243	753	30	3	133	381	195	195	3.98	0.40	17.66	50.60	25.90	68.66
244	367	6	1	43	202	80	80	1.63	0.27	11.72	55.04	21.80	67.03
245	136	4	1	41	78	11	11	2.94	0.74	30.15	57.35	8.09	88.24
